Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2);tipo
0.076872;-0.299350;0.616000;0.595000;0.907000;CAMINAR
0.081683;-0.311240;0.570000;0.659000;0.925000;CAMINAR
0.086494;-0.246920;0.540000;0.676000;0.900000;CAMINAR
0.091305;-0.222700;0.531000;0.667000;0.881000;CAMINAR
0.096116;-0.152720;0.473000;0.674000;0.837000;CAMINAR
0.100927;-0.112470;0.459000;0.676000;0.825000;CAMINAR
0.105738;-0.044510;0.396000;0.669000;0.779000;CAMINAR
0.110549;-0.036100;0.347000;0.670000;0.755000;CAMINAR
0.115360;0.007960;0.311000;0.609000;0.684000;CAMINAR
0.120171;0.015550;0.271000;0.605000;0.663000;CAMINAR
0.124982;0.028500;0.209000;0.618000;0.653000;CAMINAR
0.129793;0.078900;0.167000;0.625000;0.652000;CAMINAR
0.134604;0.105810;0.099600;0.656000;0.672000;CAMINAR
0.139415;0.142350;0.052600;0.656000;0.673000;CAMINAR
0.144226;0.125810;-0.007970;0.644000;0.657000;CAMINAR
0.149037;0.162710;-0.060100;0.601000;0.625000;CAMINAR
0.153848;0.180390;-0.113000;0.525000;0.567000;CAMINAR
0.158659;0.240560;-0.143000;0.487000;0.562000;CAMINAR
0.163470;0.226190;-0.218000;0.455000;0.553000;CAMINAR
0.168281;0.241530;-0.256000;0.349000;0.496000;CAMINAR
0.173092;0.276460;-0.267000;0.227000;0.446000;CAMINAR
0.177903;0.307220;-0.263000;0.145000;0.429000;CAMINAR
0.182714;0.328790;-0.264000;0.044500;0.424000;CAMINAR
0.187525;0.331490;-0.255000;-0.043400;0.420000;CAMINAR
0.192336;0.314970;-0.239000;-0.117000;0.412000;CAMINAR
0.197147;0.299730;-0.250000;-0.217000;0.446000;CAMINAR
0.201958;0.262290;-0.282000;-0.303000;0.490000;CAMINAR
0.206769;0.245070;-0.274000;-0.446000;0.578000;CAMINAR
0.211580;0.215990;-0.276000;-0.568000;0.667000;CAMINAR
0.216391;0.196230;-0.277000;-0.659000;0.741000;CAMINAR
0.221202;0.197390;-0.294000;-0.734000;0.815000;CAMINAR
0.226013;0.200360;-0.316000;-0.816000;0.897000;CAMINAR
0.230824;0.208570;-0.300000;-0.864000;0.938000;CAMINAR
0.235635;0.235990;-0.302000;-0.939000;1.010000;CAMINAR
0.240446;0.229570;-0.297000;-0.983000;1.050000;CAMINAR
0.245257;0.255570;-0.287000;-0.997000;1.070000;CAMINAR
0.250068;0.250070;-0.298000;-0.988000;1.060000;CAMINAR
0.254879;0.245450;-0.318000;-0.950000;1.030000;CAMINAR
0.259690;0.222900;-0.302000;-0.873000;0.950000;CAMINAR
0.264501;0.197920;-0.337000;-0.809000;0.898000;CAMINAR
0.269312;0.216020;-0.339000;-0.731000;0.835000;CAMINAR
0.274123;0.217610;-0.337000;-0.610000;0.730000;CAMINAR
0.278934;0.227490;-0.389000;-0.525000;0.692000;CAMINAR
0.283745;0.258450;-0.380000;-0.382000;0.597000;CAMINAR
0.288556;0.268930;-0.387000;-0.268000;0.542000;CAMINAR
0.293367;0.278090;-0.398000;-0.204000;0.527000;CAMINAR
0.298178;0.309450;-0.415000;-0.154000;0.540000;CAMINAR
0.302989;0.284980;-0.389000;-0.077500;0.489000;CAMINAR
0.307800;0.286940;-0.395000;-0.018400;0.489000;CAMINAR
0.312612;0.318600;-0.350000;0.014900;0.473000;CAMINAR
0.317423;0.301690;-0.358000;-0.030100;0.469000;CAMINAR
0.322234;0.285100;-0.349000;-0.068700;0.456000;CAMINAR
0.327045;0.240700;-0.354000;-0.069100;0.434000;CAMINAR
0.331856;0.221910;-0.368000;-0.030900;0.431000;CAMINAR
0.336667;0.196280;-0.343000;-0.073600;0.402000;CAMINAR
0.341478;0.247700;-0.287000;-0.055800;0.383000;CAMINAR
0.346289;0.221790;-0.232000;-0.017300;0.321000;CAMINAR
0.351100;0.272990;-0.189000;0.040500;0.334000;CAMINAR
0.355911;0.262100;-0.171000;0.058300;0.318000;CAMINAR
0.360722;0.286520;-0.159000;0.112000;0.346000;CAMINAR
0.365533;0.299730;-0.159000;0.172000;0.380000;CAMINAR
0.370344;0.335020;-0.149000;0.228000;0.432000;CAMINAR
0.375155;0.357900;-0.116000;0.314000;0.490000;CAMINAR
0.379966;0.400390;-0.110000;0.380000;0.563000;CAMINAR
0.384777;0.429200;-0.073100;0.455000;0.630000;CAMINAR
0.389588;0.437250;-0.059300;0.505000;0.670000;CAMINAR
0.394399;0.511110;-0.028200;0.549000;0.751000;CAMINAR
0.399210;0.544880;0.003160;0.556000;0.778000;CAMINAR
0.404021;0.547430;0.045400;0.563000;0.787000;CAMINAR
0.408832;0.532230;0.046300;0.565000;0.778000;CAMINAR
0.413643;0.519680;0.082000;0.542000;0.755000;CAMINAR
0.418454;0.519270;0.122000;0.475000;0.714000;CAMINAR
0.423265;0.529690;0.183000;0.390000;0.683000;CAMINAR
0.428076;0.511490;0.224000;0.257000;0.615000;CAMINAR
0.432887;0.552620;0.259000;0.129000;0.624000;CAMINAR
0.437698;0.577200;0.310000;0.100000;0.663000;CAMINAR
0.442509;0.510220;0.338000;0.116000;0.623000;CAMINAR
0.447320;0.466350;0.395000;0.057500;0.614000;CAMINAR
0.452131;0.415660;0.437000;-0.009630;0.604000;CAMINAR
0.456942;0.343540;0.511000;0.007910;0.615000;CAMINAR
0.461753;0.301810;0.530000;0.005060;0.610000;CAMINAR
0.466564;0.175380;0.541000;-0.048700;0.571000;CAMINAR
0.471375;0.108920;0.483000;0.084000;0.503000;CAMINAR
0.476186;0.127700;0.545000;0.295000;0.632000;CAMINAR
0.480997;0.165800;0.593000;0.336000;0.701000;CAMINAR
0.485808;0.265390;0.636000;0.274000;0.742000;CAMINAR
0.490619;0.329650;0.631000;0.252000;0.755000;CAMINAR
0.495430;0.341000;0.642000;0.248000;0.768000;CAMINAR
0.500241;0.266890;0.563000;0.256000;0.674000;CAMINAR
0.505052;0.210120;0.548000;0.280000;0.651000;CAMINAR
0.509863;0.180040;0.549000;0.288000;0.646000;CAMINAR
0.514674;0.236760;0.551000;0.280000;0.662000;CAMINAR
0.519485;0.240860;0.592000;0.306000;0.709000;CAMINAR
0.524296;0.271170;0.606000;0.308000;0.732000;CAMINAR
0.529107;0.289450;0.610000;0.314000;0.745000;CAMINAR
0.533918;0.314710;0.597000;0.323000;0.748000;CAMINAR
0.538729;0.323020;0.588000;0.279000;0.727000;CAMINAR
0.543540;0.263350;0.577000;0.205000;0.666000;CAMINAR
0.548351;0.243080;0.577000;0.122000;0.638000;CAMINAR
0.553162;0.219250;0.569000;0.032600;0.610000;CAMINAR
0.557973;0.212300;0.544000;-0.012400;0.584000;CAMINAR
0.562785;0.203270;0.586000;-0.098500;0.628000;CAMINAR
0.567596;0.224360;0.649000;-0.164000;0.706000;CAMINAR
0.572407;0.175260;0.650000;-0.227000;0.710000;CAMINAR
0.577218;0.112010;0.625000;-0.328000;0.715000;CAMINAR
0.582029;0.062200;0.645000;-0.318000;0.722000;CAMINAR
0.586840;0.077250;0.692000;-0.328000;0.770000;CAMINAR
0.591651;0.109160;0.724000;-0.343000;0.808000;CAMINAR
0.596462;0.128090;0.764000;-0.350000;0.850000;CAMINAR
0.601273;0.182670;0.775000;-0.403000;0.893000;CAMINAR
0.606084;0.173110;0.759000;-0.340000;0.849000;CAMINAR
0.610895;0.108340;0.705000;-0.302000;0.774000;CAMINAR
0.615706;0.067050;0.654000;-0.311000;0.727000;CAMINAR
0.620517;0.064340;0.637000;-0.290000;0.703000;CAMINAR
0.625328;0.039280;0.656000;-0.227000;0.695000;CAMINAR
0.630139;0.020410;0.650000;-0.199000;0.680000;CAMINAR
0.634950;0.001820;0.672000;-0.149000;0.689000;CAMINAR
0.639761;-0.006940;0.654000;-0.130000;0.667000;CAMINAR
0.644572;-0.043850;0.675000;-0.122000;0.688000;CAMINAR
0.649383;-0.024320;0.647000;-0.079200;0.653000;CAMINAR
0.654194;-0.049670;0.643000;-0.046900;0.647000;CAMINAR
0.659005;-0.060230;0.639000;-0.019500;0.642000;CAMINAR
0.663816;-0.099070;0.664000;-0.002990;0.672000;CAMINAR
0.668627;-0.115110;0.677000;0.001580;0.687000;CAMINAR
0.673438;-0.143180;0.677000;-0.021100;0.692000;CAMINAR
0.678249;-0.151040;0.648000;-0.003140;0.665000;CAMINAR
0.683060;-0.177900;0.639000;0.005240;0.663000;CAMINAR
0.687871;-0.176040;0.623000;0.004140;0.647000;CAMINAR
0.692682;-0.132580;0.582000;0.003110;0.597000;CAMINAR
0.697493;-0.091510;0.596000;0.004480;0.603000;CAMINAR
0.702304;-0.068190;0.574000;-0.010700;0.578000;CAMINAR
0.707115;-0.045870;0.568000;-0.012700;0.570000;CAMINAR
0.711926;-0.022160;0.593000;-0.018200;0.593000;CAMINAR
0.716737;-0.018450;0.589000;-0.033100;0.591000;CAMINAR
0.721548;-0.046600;0.596000;-0.037200;0.599000;CAMINAR
0.726359;-0.036450;0.604000;-0.067300;0.609000;CAMINAR
0.731170;-0.059570;0.614000;-0.047400;0.619000;CAMINAR
0.735981;-0.033900;0.633000;-0.029900;0.634000;CAMINAR
