"Month","Passengers","hora","clima"
"1949-01",112,12,1
"1949-02",118,12,1
"1949-03",132,12,1
"1949-04",129,12,1
"1949-05",121,12,1
"1949-06",135,12,1
"1949-07",148,12,1
"1949-08",148,12,1
"1949-09",136,12,1
"1949-10",119,12,1
"1949-11",104,12,1
"1949-12",118,12,1
"1950-01",115,12,1
"1950-02",126,12,1
"1950-03",141,12,1
"1950-04",135,12,1
"1950-05",125,12,1
"1950-06",149,12,1
"1950-07",170,12,1
"1950-08",170,12,1
"1950-09",158,12,1
"1950-10",133,12,1
"1950-11",114,12,1
"1950-12",140,12,1
"1951-01",145,12,1
"1951-02",150
"1951-03",178,12,1
"1951-04",163,12,1
"1951-05",172,12,1
"1951-06",178,12,1
"1951-07",199,12,1
"1951-08",199,12,1
"1951-09",184,12,1
"1951-10",162,12,1
"1951-11",146,12,1
"1951-12",166,12,1
"1952-01",171,12,1
"1952-02",180,12,1
"1952-03",193,12,1
"1952-04",181,12,1
"1952-05",183,12,1
"1952-06",218,12,1
"1952-07",230,12,1
"1952-08",242,12,1
"1952-09",209,12,1
"1952-10",191,12,1
"1952-11",172,12,1
"1952-12",194,12,1
"1953-01",196,12,1
"1953-02",196,12,1
"1953-03",236,12,1
"1953-04",235,12,1
"1953-05",229,12,1
"1953-06",243,12,1
"1953-07",264,12,1
"1953-08",272,12,1
"1953-09",237,12,1
"1953-10",211,12,1
"1953-11",180,12,1
"1953-12",201,12,1
"1954-01",204,12,1
"1954-02",188,12,1
"1954-03",235,12,1
"1954-04",227,12,1
"1954-05",234,12,1
"1954-06",264,12,1
"1954-07",302,12,1
"1954-08",293,12,1
"1954-09",259,12,1
"1954-10",229,12,1
"1954-11",203,12,1
"1954-12",229,12,1
"1955-01",242,12,1
"1955-02",233,12,1
"1955-03",267,12,1
"1955-04",269,12,1
"1955-05",270,12,1
"1955-06",315,12,1
"1955-07",364,12,1
"1955-08",347,12,1
"1955-09",312,12,1
"1955-10",274,12,1
"1955-11",237,12,1
"1955-12",278,12,1
"1956-01",284,12,1
"1956-02",277,12,1
"1956-03",317,12,1
"1956-04",313,12,1
"1956-05",318,12,1
"1956-06",374,12,1
"1956-07",413,12,1
"1956-08",405,12,1
"1956-09",355,12,1
"1956-10",306,12,1
"1956-11",271,12,1
"1956-12",306,12,1
"1957-01",315,12,1
"1957-02",301,12,1
"1957-03",356,12,1
"1957-04",348,12,1
"1957-05",355,12,1
"1957-06",422,12,1
"1957-07",465,12,1
"1957-08",467,12,1
"1957-09",404,12,1
"1957-10",347,12,1
"1957-11",305,12,1
"1957-12",336,12,1
"1958-01",340,12,1
"1958-02",318,12,1
"1958-03",362,12,1
"1958-04",348,12,1
"1958-05",363,12,1
"1958-06",435,12,1
"1958-07",491,12,1
"1958-08",505,12,1
"1958-09",404,12,1
"1958-10",359,12,1
"1958-11",310,12,1
"1958-12",337,12,1
"1959-01",360,12,1
"1959-02",342,12,1
"1959-03",406,12,1
"1959-04",396,12,1
"1959-05",420,12,1
"1959-06",472,12,1
"1959-07",548,12,1
"1959-08",559,12,1
"1959-09",463,12,1
"1959-10",407,12,1
"1959-11",362,12,1
"1959-12",405,12,1
"1960-01",417,12,1
"1960-02",391,12,1
"1960-03",419,12,1
"1960-04",461,12,1
"1960-05",472,12,1
"1960-06",535,12,1
"1960-07",622,12,1
"1960-08",606,12,1
"1960-09",508,12,1
"1960-10",461,12,1
"1960-11",390,12,1
"1960-12",432,12,1
